skills,interests,education_level,years_experience,certifications,projects,target_career
"wireframing, prototyping, figma, sketch, adobe xd","user testing, user interface, design capability, visual design",Self-Taught,1,Certified,website redesign,UX Designer
"nlp, pandas, python","solving complex problems, building models",Master,8,Certified,customer churn prediction,Data Scientist
"analytics, communication, scrum, market research","business growth, leading teams",Bachelor,9,In Progress,product launch,Product Manager
"agile, market research, roadmapping","leading teams, product strategy, user experience",Self-Taught,8,Certified,product launch,Product Manager
"wireframing, prototyping, adobe xd, user research, sketch","design capability, user interface, visual design",Master,10,None,user flow diagram,UX Designer
"node.js, html, react, javascript, css","backend systems, building websites, frontend development, ui design",PhD,3,In Progress,e-commerce site,Web Developer
"sql, deep learning, machine learning, python","building models, analyzing data",PhD,7,In Progress,customer churn prediction,Data Scientist
"data structures, java, algorithms, python, c++, system design","backend logic, coding",Master,1,None,scalable system,Software Engineer
"java, python, data structures, git, c++","software architecture, backend logic",Master,4,Certified,desktop application,Software Engineer
"python, c++, system design","software architecture, coding, optimizing performance, backend logic",PhD,1,None,desktop application,Software Engineer
"communication, scrum, agile, roadmapping, market research","user experience, product strategy, leading teams, business growth",Bachelor,6,In Progress,user research,Product Manager
"system design, git, algorithms","optimizing performance, coding, software architecture, backend logic",PhD,10,None,algorithm visualizer,Software Engineer
"market research, agile, roadmapping, scrum, communication","user experience, business growth, leading teams, product strategy",Master,4,Certified,user research,Product Manager
"user research, wireframing, sketch, adobe xd, figma","user interface, design capability, visual design",PhD,0,Certified,mobile app design,UX Designer
"analytics, communication, roadmapping, market research","user experience, business growth",Self-Taught,1,None,market analysis,Product Manager
"nlp, deep learning, pandas, statistics, numpy, sql","building models, solving complex problems",Bachelor,4,None,image classification,Data Scientist
"sketch, adobe xd, figma, user research","user interface, design capability",Self-Taught,8,Certified,website redesign,UX Designer
"wireframing, figma, prototyping, user research, adobe xd, sketch","user interface, visual design, design capability",PhD,4,None,website redesign,UX Designer
"data structures, git, java, system design, c++, algorithms, python","backend logic, software architecture, optimizing performance",PhD,0,Certified,algorithm visualizer,Software Engineer
"market research, analytics, scrum, communication","business growth, user experience, product strategy",Master,0,In Progress,user research,Product Manager
"market research, agile, roadmapping, communication","business growth, product strategy, user experience, leading teams",Self-Taught,9,In Progress,user research,Product Manager
"wireframing, prototyping, sketch, adobe xd, user research, figma","user interface, visual design, design capability",PhD,2,In Progress,user flow diagram,UX Designer
"scrum, market research, analytics, communication, roadmapping, agile","leading teams, business growth, product strategy, user experience",Self-Taught,6,Certified,user research,Product Manager
"statistics, numpy, deep learning","solving complex problems, ai research, building models, analyzing data",Bachelor,10,Certified,image classification,Data Scientist
"algorithms, git, data structures, system design, python, java, c++","backend logic, software architecture, coding, optimizing performance",Master,5,None,algorithm visualizer,Software Engineer
"figma, adobe xd, user research, sketch","user testing, design capability, user interface",PhD,0,Certified,website redesign,UX Designer
"python, git, c++, java, algorithms, system design","coding, backend logic, software architecture, optimizing performance",Self-Taught,7,None,scalable system,Software Engineer
"pandas, nlp, numpy, python","building models, analyzing data",Master,1,In Progress,customer churn prediction,Data Scientist
"machine learning, pandas, nlp, python","ai research, building models, solving complex problems",Self-Taught,7,None,customer churn prediction,Data Scientist
"pandas, machine learning, python, nlp, deep learning","solving complex problems, ai research, building models",Bachelor,0,In Progress,customer churn prediction,Data Scientist
"node.js, api, html, javascript, css","ui design, frontend development",Master,8,Certified,e-commerce site,Web Developer
"node.js, api, javascript, react","building websites, frontend development, ui design",Master,10,Certified,portfolio website,Web Developer
"nlp, machine learning, numpy, statistics, python, pandas, deep learning, sql","building models, ai research",Bachelor,1,None,sentiment analysis,Data Scientist
"python, c++, data structures","software architecture, optimizing performance",PhD,9,In Progress,desktop application,Software Engineer
"statistics, numpy, deep learning, pandas, python, sql","ai research, solving complex problems",PhD,0,None,customer churn prediction,Data Scientist
"nlp, sql, pandas, deep learning, statistics, machine learning","solving complex problems, ai research, building models",Bachelor,9,In Progress,customer churn prediction,Data Scientist
"agile, scrum, market research","product strategy, leading teams, business growth",Self-Taught,7,Certified,product launch,Product Manager
"deep learning, machine learning, nlp, pandas","analyzing data, solving complex problems, building models",Self-Taught,2,None,image classification,Data Scientist
"css, databases, node.js, html, javascript","ui design, backend systems",Self-Taught,9,In Progress,chat application,Web Developer
"api, react, javascript, css","backend systems, frontend development, ui design",Master,4,None,chat application,Web Developer
"data structures, git, system design, java","coding, optimizing performance, backend logic",Bachelor,8,Certified,desktop application,Software Engineer
"nlp, numpy, pandas, sql","solving complex problems, ai research",Master,8,None,customer churn prediction,Data Scientist
"data structures, python, algorithms","backend logic, coding, optimizing performance",Bachelor,10,In Progress,algorithm visualizer,Software Engineer
"git, data structures, system design, java, algorithms, python, c++","optimizing performance, backend logic, software architecture",Bachelor,5,None,scalable system,Software Engineer
"user research, figma, wireframing, adobe xd, prototyping","visual design, user testing, design capability",Self-Taught,6,In Progress,website redesign,UX Designer
"analytics, scrum, market research","user experience, leading teams, business growth, product strategy",PhD,0,None,market analysis,Product Manager
"statistics, machine learning, nlp, sql, python, deep learning, numpy","ai research, analyzing data",PhD,2,In Progress,customer churn prediction,Data Scientist
"prototyping, wireframing, figma, user research","user interface, visual design",Master,9,In Progress,website redesign,UX Designer
"adobe xd, prototyping, user research, sketch, wireframing","design capability, user interface, user testing",Self-Taught,4,Certified,user flow diagram,UX Designer
"user research, figma, adobe xd, sketch","user testing, user interface, visual design",PhD,9,In Progress,user flow diagram,UX Designer
"databases, javascript, api, css, react, node.js","frontend development, ui design",Master,10,Certified,chat application,Web Developer
"python, nlp, deep learning, sql, pandas, numpy, machine learning","building models, analyzing data",Self-Taught,9,In Progress,image classification,Data Scientist
"wireframing, prototyping, sketch, adobe xd, figma","user interface, design capability, user testing, visual design",Self-Taught,5,In Progress,mobile app design,UX Designer
"analytics, agile, market research, scrum, roadmapping","user experience, product strategy",Bachelor,10,Certified,market analysis,Product Manager
"agile, roadmapping, scrum, market research, communication, analytics","leading teams, product strategy",Master,4,Certified,market analysis,Product Manager
"python, numpy, machine learning, nlp, sql, deep learning, pandas","ai research, solving complex problems, analyzing data",PhD,1,Certified,image classification,Data Scientist
"algorithms, python, git, data structures","backend logic, coding, optimizing performance",PhD,0,In Progress,algorithm visualizer,Software Engineer
"agile, scrum, roadmapping, analytics","user experience, business growth, product strategy, leading teams",PhD,9,None,user research,Product Manager
"user research, prototyping, figma","design capability, user testing, visual design",PhD,9,Certified,user flow diagram,UX Designer
"api, javascript, databases","frontend development, ui design, building websites",Self-Taught,10,Certified,chat application,Web Developer
"c++, data structures, git, algorithms","backend logic, coding, software architecture, optimizing performance",Bachelor,4,Certified,algorithm visualizer,Software Engineer
"figma, sketch, prototyping, user research","user testing, design capability, visual design",Self-Taught,3,Certified,website redesign,UX Designer
"prototyping, adobe xd, wireframing, user research, figma","user testing, visual design, user interface, design capability",Self-Taught,2,Certified,user flow diagram,UX Designer
"nlp, numpy, python, machine learning, pandas","analyzing data, ai research, building models, solving complex problems",Bachelor,9,In Progress,customer churn prediction,Data Scientist
"css, javascript, node.js, react, api","frontend development, backend systems, ui design, building websites",Bachelor,0,None,portfolio website,Web Developer
"adobe xd, prototyping, wireframing, user research, sketch, figma","user interface, visual design, design capability, user testing",Self-Taught,7,In Progress,mobile app design,UX Designer
"python, sql, machine learning, deep learning, numpy, statistics, nlp, pandas","analyzing data, solving complex problems, building models",Master,9,In Progress,image classification,Data Scientist
"user research, wireframing, figma, adobe xd, sketch","design capability, visual design, user testing",Self-Taught,4,Certified,mobile app design,UX Designer
"algorithms, c++, python, system design, git, data structures, java","backend logic, optimizing performance, coding",Master,6,Certified,scalable system,Software Engineer
"deep learning, nlp, python, pandas, numpy, sql, statistics, machine learning","building models, ai research",Master,4,Certified,sentiment analysis,Data Scientist
"agile, analytics, scrum, market research, roadmapping, communication","user experience, product strategy",Bachelor,4,None,product launch,Product Manager
"nlp, numpy, deep learning","building models, ai research, analyzing data",PhD,2,Certified,image classification,Data Scientist
"communication, scrum, roadmapping, analytics, agile, market research","business growth, product strategy, user experience, leading teams",Master,3,Certified,user research,Product Manager
"market research, scrum, analytics, roadmapping","business growth, user experience",Master,3,None,product launch,Product Manager
"adobe xd, prototyping, wireframing, figma","user interface, design capability, user testing, visual design",Master,1,None,website redesign,UX Designer
"python, algorithms, data structures, java, system design","optimizing performance, backend logic",Bachelor,7,None,algorithm visualizer,Software Engineer
"html, javascript, css, react, node.js, api","building websites, backend systems",Bachelor,2,None,e-commerce site,Web Developer
"algorithms, java, c++, python, data structures","optimizing performance, coding",PhD,2,None,desktop application,Software Engineer
"prototyping, figma, sketch","design capability, visual design",PhD,0,In Progress,website redesign,UX Designer
"wireframing, sketch, figma, user research, prototyping","user interface, design capability",Bachelor,3,None,user flow diagram,UX Designer
"adobe xd, prototyping, user research, wireframing","visual design, user interface, design capability, user testing",Self-Taught,4,Certified,website redesign,UX Designer
"sql, machine learning, pandas, statistics, deep learning, nlp, python, numpy","analyzing data, ai research, solving complex problems",Master,9,In Progress,customer churn prediction,Data Scientist
"java, python, git","software architecture, backend logic, coding, optimizing performance",PhD,7,None,scalable system,Software Engineer
"sql, machine learning, deep learning, numpy, nlp, statistics, pandas","ai research, analyzing data, building models",Bachelor,2,In Progress,customer churn prediction,Data Scientist
"sketch, adobe xd, user research, figma, prototyping, wireframing","user testing, design capability, user interface, visual design",Self-Taught,6,None,user flow diagram,UX Designer
"market research, roadmapping, agile, analytics, scrum","leading teams, business growth",Master,6,Certified,product launch,Product Manager
"wireframing, adobe xd, prototyping, user research","user interface, design capability",Self-Taught,9,In Progress,website redesign,UX Designer
"c++, java, data structures, algorithms, system design, git","coding, optimizing performance",PhD,6,In Progress,desktop application,Software Engineer
"adobe xd, prototyping, wireframing","design capability, visual design",Self-Taught,10,In Progress,user flow diagram,UX Designer
"sql, deep learning, numpy, python, machine learning","ai research, analyzing data, building models",Self-Taught,9,Certified,customer churn prediction,Data Scientist
"roadmapping, market research, analytics, scrum","user experience, leading teams, business growth",Self-Taught,3,None,user research,Product Manager
"nlp, pandas, sql, numpy, machine learning, python, statistics, deep learning","solving complex problems, analyzing data, ai research",Master,2,Certified,customer churn prediction,Data Scientist
"adobe xd, wireframing, prototyping","design capability, user interface, visual design, user testing",Self-Taught,8,Certified,mobile app design,UX Designer
"react, html, javascript, node.js","frontend development, backend systems",Self-Taught,9,None,chat application,Web Developer
"node.js, react, databases, api, javascript, css, html","frontend development, backend systems, building websites",Master,1,None,chat application,Web Developer
"databases, javascript, react, node.js, css, api, html","ui design, frontend development, backend systems, building websites",Master,3,In Progress,chat application,Web Developer
"python, nlp, numpy","ai research, analyzing data, solving complex problems",Master,2,In Progress,sentiment analysis,Data Scientist
"roadmapping, agile, scrum, market research, communication, analytics","product strategy, business growth",Master,9,In Progress,user research,Product Manager
"react, node.js, api, databases","frontend development, ui design, building websites, backend systems",Master,6,In Progress,e-commerce site,Web Developer
"wireframing, prototyping, user research, adobe xd","visual design, design capability, user testing, user interface",Bachelor,10,In Progress,website redesign,UX Designer
"sketch, figma, adobe xd, wireframing","visual design, user testing, user interface, design capability",PhD,6,Certified,website redesign,UX Designer
"python, statistics, pandas, nlp, deep learning, machine learning","analyzing data, building models, ai research, solving complex problems",Master,4,Certified,sentiment analysis,Data Scientist
"wireframing, prototyping, sketch, adobe xd","design capability, visual design",Self-Taught,4,Certified,user flow diagram,UX Designer
"numpy, nlp, statistics, deep learning","ai research, analyzing data",Bachelor,7,None,sentiment analysis,Data Scientist
"wireframing, figma, sketch","visual design, design capability, user testing",PhD,6,None,website redesign,UX Designer
"git, data structures, system design, algorithms","optimizing performance, software architecture, coding, backend logic",Bachelor,3,None,scalable system,Software Engineer
"node.js, databases, react","ui design, frontend development, building websites",Bachelor,8,Certified,portfolio website,Web Developer
"scrum, market research, communication","user experience, leading teams, product strategy",Bachelor,3,Certified,market analysis,Product Manager
"communication, scrum, agile, roadmapping, market research, analytics","business growth, product strategy",PhD,7,None,product launch,Product Manager
"numpy, sql, nlp","building models, ai research",Self-Taught,1,Certified,sentiment analysis,Data Scientist
"analytics, agile, scrum, roadmapping","leading teams, user experience",Master,7,In Progress,market analysis,Product Manager
"node.js, databases, css, react, html, api, javascript","ui design, backend systems, frontend development, building websites",Bachelor,1,Certified,chat application,Web Developer
"system design, python, data structures, algorithms","coding, backend logic, optimizing performance, software architecture",Self-Taught,9,Certified,scalable system,Software Engineer
"sketch, adobe xd, figma, wireframing, prototyping","user interface, user testing",Bachelor,9,In Progress,mobile app design,UX Designer
"figma, adobe xd, user research","user interface, visual design",Self-Taught,1,None,website redesign,UX Designer
"css, api, javascript","building websites, frontend development",PhD,4,Certified,portfolio website,Web Developer
"deep learning, statistics, numpy","ai research, analyzing data",PhD,1,In Progress,sentiment analysis,Data Scientist
"figma, prototyping, sketch","visual design, user testing, design capability",Self-Taught,1,In Progress,mobile app design,UX Designer
"machine learning, deep learning, python, nlp, statistics, pandas, sql","analyzing data, solving complex problems",Self-Taught,6,Certified,sentiment analysis,Data Scientist
"user research, adobe xd, sketch, figma, prototyping","user interface, visual design, user testing, design capability",PhD,8,Certified,user flow diagram,UX Designer
"deep learning, python, nlp, pandas","building models, ai research",PhD,8,Certified,customer churn prediction,Data Scientist
"api, css, html, databases, javascript","ui design, frontend development, building websites",Master,0,Certified,portfolio website,Web Developer
"statistics, pandas, machine learning, nlp, python","ai research, building models, solving complex problems",Master,5,Certified,sentiment analysis,Data Scientist
"user research, sketch, prototyping","user testing, user interface, design capability",Master,2,In Progress,mobile app design,UX Designer
"algorithms, data structures, python, git, java, c++, system design","software architecture, optimizing performance, backend logic",Bachelor,6,In Progress,desktop application,Software Engineer
"figma, user research, sketch","design capability, visual design, user interface, user testing",Self-Taught,4,None,website redesign,UX Designer
"adobe xd, wireframing, figma","design capability, user interface, visual design, user testing",Bachelor,5,Certified,mobile app design,UX Designer
"algorithms, python, data structures, c++","optimizing performance, coding, backend logic",PhD,4,Certified,desktop application,Software Engineer
"communication, agile, roadmapping, analytics, scrum, market research","leading teams, product strategy, user experience, business growth",Master,4,In Progress,product launch,Product Manager
"data structures, system design, c++","coding, backend logic, optimizing performance, software architecture",Master,5,None,desktop application,Software Engineer
"data structures, algorithms, java, system design, c++","backend logic, software architecture",Bachelor,2,Certified,scalable system,Software Engineer
"machine learning, numpy, nlp, deep learning, statistics","building models, ai research, analyzing data",PhD,5,None,sentiment analysis,Data Scientist
"agile, scrum, roadmapping, communication","product strategy, user experience, leading teams, business growth",Bachelor,10,Certified,user research,Product Manager
"scrum, roadmapping, communication","leading teams, product strategy",Master,8,Certified,user research,Product Manager
"market research, roadmapping, analytics, agile, communication, scrum","leading teams, product strategy, business growth, user experience",Self-Taught,8,In Progress,product launch,Product Manager
"sketch, wireframing, user research, prototyping, adobe xd, figma","design capability, user interface, visual design",Bachelor,2,None,mobile app design,UX Designer
"adobe xd, prototyping, sketch, figma, user research, wireframing","visual design, user interface",PhD,5,In Progress,website redesign,UX Designer
"sql, python, machine learning, numpy","analyzing data, building models",Bachelor,7,Certified,customer churn prediction,Data Scientist
"analytics, roadmapping, communication, market research","business growth, leading teams, user experience, product strategy",PhD,2,Certified,product launch,Product Manager
"node.js, api, javascript, html, css, react, databases","building websites, ui design",Master,3,In Progress,chat application,Web Developer
"python, sql, machine learning, statistics, numpy, pandas","building models, ai research, analyzing data",PhD,0,In Progress,image classification,Data Scientist
"statistics, nlp, sql, machine learning","analyzing data, ai research, solving complex problems, building models",PhD,2,Certified,sentiment analysis,Data Scientist
"node.js, databases, javascript, css, react","building websites, frontend development, backend systems, ui design",Self-Taught,5,In Progress,chat application,Web Developer
"market research, roadmapping, scrum, agile, analytics","leading teams, user experience, business growth, product strategy",Bachelor,10,Certified,market analysis,Product Manager
"roadmapping, agile, market research, analytics, communication","user experience, leading teams",Bachelor,2,In Progress,market analysis,Product Manager
"javascript, node.js, react, html","ui design, backend systems",PhD,10,In Progress,chat application,Web Developer
"data structures, c++, git, java, algorithms","backend logic, coding",Master,6,In Progress,desktop application,Software Engineer
"deep learning, statistics, pandas, nlp, machine learning, numpy, sql, python","analyzing data, ai research",Self-Taught,5,In Progress,image classification,Data Scientist
"javascript, databases, node.js, react, css","backend systems, ui design, frontend development, building websites",Bachelor,8,None,portfolio website,Web Developer
"communication, analytics, market research, scrum, roadmapping","user experience, business growth",Bachelor,6,Certified,market analysis,Product Manager
"api, databases, html, react, javascript, css","backend systems, building websites",Self-Taught,8,Certified,e-commerce site,Web Developer
"sql, statistics, pandas, machine learning, nlp, python, numpy, deep learning","solving complex problems, analyzing data, ai research",PhD,8,Certified,sentiment analysis,Data Scientist
"data structures, git, java, algorithms","backend logic, optimizing performance",Master,0,None,desktop application,Software Engineer
"roadmapping, scrum, market research, agile, communication","product strategy, business growth, leading teams, user experience",Self-Taught,8,Certified,user research,Product Manager
"numpy, pandas, deep learning, statistics, machine learning, sql","analyzing data, building models",Bachelor,1,Certified,image classification,Data Scientist
"pandas, statistics, machine learning, sql, nlp, deep learning","solving complex problems, analyzing data",PhD,8,Certified,image classification,Data Scientist
"api, css, javascript","ui design, backend systems, building websites",Master,2,Certified,portfolio website,Web Developer
"react, api, css","ui design, frontend development, backend systems, building websites",Master,8,In Progress,portfolio website,Web Developer
"wireframing, sketch, figma, prototyping, adobe xd, user research","user interface, user testing",Self-Taught,5,None,mobile app design,UX Designer
"statistics, python, pandas, machine learning, numpy, nlp, deep learning","ai research, building models, solving complex problems, analyzing data",PhD,2,Certified,customer churn prediction,Data Scientist
"adobe xd, figma, wireframing, user research, sketch, prototyping","design capability, user testing, visual design",Master,8,In Progress,mobile app design,UX Designer
"machine learning, statistics, nlp, deep learning, sql, pandas, python, numpy","building models, analyzing data",PhD,10,None,sentiment analysis,Data Scientist
"market research, analytics, roadmapping, communication","leading teams, user experience, business growth",Master,6,In Progress,user research,Product Manager
"java, python, algorithms, git, system design, data structures, c++","software architecture, optimizing performance",Bachelor,10,Certified,scalable system,Software Engineer
"react, databases, node.js, javascript, css","frontend development, building websites, ui design",PhD,10,None,portfolio website,Web Developer
"c++, python, git, algorithms, system design, data structures","coding, optimizing performance",PhD,3,In Progress,scalable system,Software Engineer
"javascript, node.js, databases, css, api, react","ui design, frontend development, backend systems",Bachelor,6,None,e-commerce site,Web Developer
"communication, market research, analytics, agile, scrum","product strategy, leading teams",Bachelor,1,In Progress,user research,Product Manager
"pandas, deep learning, statistics, numpy, nlp, python, machine learning","solving complex problems, analyzing data, building models",Bachelor,3,None,customer churn prediction,Data Scientist
"pandas, machine learning, python","ai research, building models",PhD,5,None,image classification,Data Scientist
"statistics, sql, deep learning","ai research, solving complex problems",PhD,4,None,image classification,Data Scientist
"machine learning, numpy, nlp, deep learning, python","ai research, analyzing data, solving complex problems, building models",Master,1,In Progress,customer churn prediction,Data Scientist
"scrum, communication, analytics","user experience, business growth, leading teams, product strategy",Bachelor,9,In Progress,market analysis,Product Manager
"css, databases, html, api, react, javascript","frontend development, backend systems, ui design, building websites",Master,10,In Progress,e-commerce site,Web Developer
"react, databases, node.js, html","ui design, frontend development",Bachelor,0,None,chat application,Web Developer
"python, algorithms, data structures, system design, git, java","backend logic, software architecture",PhD,7,Certified,desktop application,Software Engineer
"figma, user research, sketch","design capability, user interface, visual design",Self-Taught,3,Certified,mobile app design,UX Designer
"python, system design, java, c++, git, algorithms","backend logic, software architecture, optimizing performance, coding",Self-Taught,7,None,scalable system,Software Engineer
"api, react, javascript","ui design, backend systems, frontend development",Bachelor,6,Certified,e-commerce site,Web Developer
"data structures, algorithms, c++, java","coding, backend logic, software architecture",Bachelor,10,In Progress,scalable system,Software Engineer
"css, react, databases, node.js, api, javascript, html","ui design, frontend development",Self-Taught,8,Certified,chat application,Web Developer
"pandas, deep learning, numpy, machine learning, python, nlp, sql","building models, ai research, solving complex problems",Self-Taught,9,In Progress,image classification,Data Scientist
"deep learning, statistics, machine learning, sql, pandas, python","analyzing data, ai research, solving complex problems, building models",Self-Taught,5,In Progress,sentiment analysis,Data Scientist
"market research, agile, roadmapping, analytics, scrum, communication","leading teams, business growth",Self-Taught,1,None,user research,Product Manager
"python, git, data structures, algorithms","optimizing performance, backend logic, software architecture, coding",Bachelor,1,Certified,desktop application,Software Engineer
"databases, javascript, react, node.js, css","frontend development, building websites, ui design, backend systems",Bachelor,8,In Progress,chat application,Web Developer
"api, react, node.js, databases, javascript","backend systems, ui design",Master,4,None,e-commerce site,Web Developer
"adobe xd, sketch, figma, prototyping, wireframing","design capability, user testing, visual design, user interface",Bachelor,1,Certified,mobile app design,UX Designer
"java, c++, algorithms, system design, git, python","coding, backend logic, optimizing performance",Self-Taught,0,Certified,scalable system,Software Engineer
"roadmapping, agile, market research, communication","leading teams, user experience, product strategy, business growth",Self-Taught,1,Certified,user research,Product Manager
"wireframing, adobe xd, sketch, prototyping","user interface, user testing, design capability, visual design",Bachelor,10,In Progress,website redesign,UX Designer
"roadmapping, communication, scrum","product strategy, leading teams, business growth, user experience",Self-Taught,10,In Progress,product launch,Product Manager
"c++, git, algorithms","optimizing performance, backend logic, software architecture",Self-Taught,6,In Progress,scalable system,Software Engineer
"sql, numpy, statistics, machine learning, pandas","building models, analyzing data, solving complex problems, ai research",Master,8,In Progress,customer churn prediction,Data Scientist
"numpy, deep learning, sql","analyzing data, solving complex problems",Bachelor,0,In Progress,image classification,Data Scientist
